Process Name,Priority,Simulated Arrival Time,Arrival Tick,Completion Tick,Service Time,Turnaround (ticks),Waiting (ticks),Preemptions
Process-460,2,1786,1786,1987,8,201,193,0
Process-461,3,1604,1604,1690,5,86,81,0
Process-462,4,4950,4950,4994,5,44,39,0
Process-463,5,4003,4003,4107,3,104,101,0
Process-464,5,2812,2812,2997,8,185,177,0
Process-465,5,881,881,975,8,94,86,0
Process-466,3,4468,4468,4502,3,34,31,0
Process-467,2,739,739,793,8,54,46,0
Process-468,2,1593,1593,1634,3,41,38,0
Process-469,1,642,642,662,9,20,11,0
Process-470,2,1614,1614,1701,5,87,82,0
Process-471,4,3496,3496,3824,10,328,318,0
Process-472,1,1955,1955,2091,5,136,131,0
Process-473,5,4967,4967,5023,7,56,49,0
Process-474,1,4326,4326,4448,10,122,112,0
Process-475,1,920,920,1040,10,120,110,0
Process-476,4,1674,1674,1732,3,58,55,0
Process-477,2,3133,3133,3380,9,247,238,0
Process-478,5,2973,2973,3232,10,259,249,0
Process-479,1,157,157,184,3,27,24,0
Process-480,1,37,37,49,3,12,9,0
Process-481,5,1570,1570,1639,5,69,64,0
Process-482,2,2641,2641,2814,6,173,167,0
Process-483,1,3595,3595,3650,2,55,53,0
Process-484,3,4387,4387,4473,8,86,78,0
Process-485,1,2813,2813,2912,4,99,95,0
Process-486,2,2368,2368,2483,4,115,111,0
Process-487,2,4545,4545,4573,4,28,24,0
Process-488,5,4344,4344,4420,7,76,69,0
Process-489,5,1588,1588,1696,6,108,102,0
Process-490,5,27,27,30,1,3,2,0
Process-491,1,436,436,515,7,79,72,0
Process-492,4,1781,1781,1972,7,191,184,0
Process-493,3,3379,3379,3576,7,197,190,0
Process-494,2,2207,2207,2392,7,185,178,0
Process-495,1,1633,1633,1754,6,121,115,0
Process-496,4,2455,2455,2612,6,157,151,0
Process-497,4,3638,3638,3850,6,212,206,0
Process-498,1,3620,3620,3813,6,193,187,0
Process-499,4,670,670,690,8,20,12,0
Process-500,5,1869,1869,1999,5,130,125,0
Process-501,2,10,10,11,1,1,0,0
Process-502,1,880,880,960,7,80,73,0
Process-503,2,3820,3820,3995,5,175,170,0
Process-504,5,2253,2253,2407,6,154,148,0
Process-505,3,1255,1255,1313,7,58,51,0
Process-506,4,1122,1122,1157,3,35,32,0
Process-507,5,1569,1569,1601,2,32,30,0
Process-508,5,3406,3406,3626,8,220,212,0
Process-509,3,1988,1988,2098,4,110,106,0
Process-510,1,65,65,115,6,50,44,0
Process-511,5,887,887,995,9,108,99,0
Process-512,5,5083,5083,5112,4,29,25,0
Process-513,4,3630,3630,3948,8,318,310,0
Process-514,4,1603,1603,1669,4,66,62,0
Process-515,4,4057,4057,4229,6,172,166,0
Process-516,4,4298,4298,4394,8,96,88,0
Process-517,3,1956,1956,2014,2,58,56,0
Process-518,2,2271,2271,2450,7,179,172,0
Process-519,2,692,692,710,3,18,15,0
Process-520,4,2988,2988,3080,4,92,88,0
Process-521,1,2168,2168,2199,1,31,30,0
Process-522,4,1337,1337,1366,2,29,27,0
Process-523,5,5023,5023,5063,3,40,37,0
Process-524,5,3330,3330,3444,4,114,110,0
Process-525,5,4858,4858,4864,6,6,0,0
Process-526,2,3714,3714,3854,4,140,136,0
Process-527,3,954,954,967,1,13,12,0
Process-528,2,2922,2922,3087,7,165,158,0
Process-529,1,1443,1443,1509,5,66,61,0
Process-530,4,2773,2773,3009,10,236,226,0
Process-531,2,4885,4885,4892,1,7,6,0
Process-532,4,2925,2925,3013,4,88,84,0
Process-533,3,3459,3459,3648,7,189,182,0
Process-534,4,4880,4880,4949,9,69,60,0
Process-535,1,3033,3033,3286,9,253,244,0
Process-536,5,4359,4359,4407,4,48,44,0
Process-537,2,442,442,508,6,66,60,0
Process-538,5,672,672,704,7,32,25,0
Process-539,3,4978,4978,5099,10,121,111,0
Process-540,3,4447,4447,4476,3,29,26,0
Process-541,5,2924,2924,3118,9,194,185,0
Process-542,2,58,58,135,8,77,69,0
Process-543,2,1536,1536,1650,8,114,106,0
Process-544,1,4599,4599,4617,3,18,15,0
Process-545,4,5380,5380,5417,6,37,31,0
Process-546,3,3329,3329,3498,6,169,163,0
Process-547,2,22,22,36,6,14,8,0
Process-548,1,791,791,850,7,59,52,0
Process-549,4,3615,3615,3702,3,87,84,0
Process-550,2,2532,2532,2783,9,251,242,0
Process-551,4,4216,4216,4294,3,78,75,0
Process-552,1,3175,3175,3201,1,26,25,0
Process-553,2,2222,2222,2381,6,159,153,0
Process-554,5,4037,4037,4260,8,223,215,0
Process-555,2,1843,1843,2055,8,212,204,0
Process-556,5,1309,1309,1356,4,47,43,0
Process-557,3,1297,1297,1315,2,18,16,0
Process-558,1,2635,2635,2807,6,172,166,0
Process-559,2,3277,3277,3420,5,143,138,0
Process-560,2,1408,1408,1451,4,43,39,0
Process-561,2,5495,5495,5523,10,28,18,0
Process-562,4,5430,5430,5459,5,29,24,0
Process-563,2,270,270,309,5,39,34,0
Process-564,2,2927,2927,2979,2,52,50,0
Process-565,1,3667,3667,3807,4,140,136,0
Process-566,4,469,469,558,7,89,82,0
Process-567,5,2270,2270,2375,4,105,101,0
Process-568,2,3187,3187,3277,3,90,87,0
Process-569,3,3019,3019,3095,3,76,73,0
Process-570,3,3477,3477,3690,8,213,205,0
Process-571,4,5334,5334,5366,9,32,23,0
Process-572,5,4877,4877,4897,5,20,15,0
Process-573,3,2489,2489,2518,1,29,28,0
Process-574,5,838,838,876,4,38,34,0
Process-575,3,2562,2562,2840,10,278,268,0
Process-576,4,3380,3380,3440,2,60,58,0
Process-577,2,3426,3426,3672,9,246,237,0
Process-578,5,2719,2719,2898,8,179,171,0
Process-579,4,1772,1772,1914,5,142,137,0
Process-580,1,324,324,364,5,40,35,0
Process-581,4,2460,2460,2673,8,213,205,0
Process-582,2,1572,1572,1603,2,31,29,0
